c Вес дерева = 13094, число листьев = 44,
c число вершин и ребер
p edge 500 499
c ребра
e 341 283
e 283 9
e 9 109
e 109 315
e 315 116
e 315 469
e 109 421
e 421 374
e 374 386
e 9 335
e 335 500
e 500 476
e 500 206
e 206 372
e 372 208
e 335 227
e 227 377
e 227 271
e 271 225
e 225 128
e 128 437
e 283 247
e 247 130
e 130 234
e 234 255
e 234 427
e 427 274
e 130 110
e 110 409
e 409 154
e 110 169
e 247 12
e 12 480
e 480 211
e 211 198
e 198 276
e 480 459
e 459 484
e 484 158
e 158 29
e 29 46
e 46 19
e 12 180
e 180 260
e 341 175
e 175 429
e 429 344
e 344 423
e 423 250
e 250 160
e 423 258
e 258 144
e 344 86
e 86 124
e 124 141
e 141 28
e 28 203
e 203 48
e 48 456
e 86 210
e 210 297
e 297 218
e 218 371
e 371 398
e 429 422
e 422 474
e 474 111
e 111 411
e 411 495
e 495 331
e 331 177
e 177 241
e 241 376
e 376 430
e 430 96
e 96 74
e 474 162
e 162 231
e 231 2
e 2 63
e 63 443
e 443 52
e 52 101
e 101 389
e 389 253
e 253 155
e 155 113
e 113 172
e 172 498
e 498 332
e 422 224
e 224 359
e 359 209
e 209 364
e 364 416
e 416 36
e 36 179
e 179 375
e 375 400
e 400 11
e 11 34
e 34 119
e 119 191
e 191 450
e 450 166
e 166 194
e 194 132
e 132 187
e 187 249
e 249 37
e 37 100
e 100 491
e 491 51
e 224 120
e 120 33
e 175 248
e 248 351
e 351 82
e 82 353
e 353 181
e 181 354
e 354 392
e 392 352
e 352 216
e 216 56
e 56 213
e 213 441
e 441 232
e 232 494
e 82 197
e 197 73
e 73 319
e 319 77
e 77 67
e 67 242
e 242 458
e 458 473
e 473 54
e 54 30
e 30 338
e 338 355
e 355 173
e 351 346
e 346 133
e 133 243
e 243 367
e 367 447
e 447 27
e 27 228
e 228 294
e 294 477
e 477 106
e 346 483
e 483 417
e 417 42
e 42 31
e 31 384
e 384 55
e 55 150
e 150 425
e 425 245
e 245 324
e 324 391
e 391 64
e 64 200
e 200 22
e 22 342
e 342 368
e 368 396
e 396 257
e 257 362
e 362 238
e 238 6
