c Вес дерева = 4093, число листьев = 24,
c число вершин и ребер
p edge 250 249
c ребра
e 210 4
e 4 85
e 85 111
e 111 79
e 79 151
e 151 51
e 51 129
e 129 139
e 139 245
e 245 32
e 111 149
e 149 86
e 86 147
e 147 81
e 81 239
e 239 2
e 2 189
e 189 160
e 160 183
e 183 66
e 66 132
e 132 58
e 58 230
e 230 71
e 71 82
e 82 9
e 85 112
e 112 15
e 15 198
e 198 150
e 150 170
e 170 74
e 74 120
e 120 30
e 30 124
e 124 45
e 45 207
e 207 172
e 172 36
e 36 173
e 173 3
e 3 218
e 112 191
e 191 214
e 214 133
e 133 226
e 226 167
e 167 107
e 107 118
e 118 28
e 28 236
e 236 39
e 39 59
e 59 69
e 69 217
e 217 165
e 165 70
e 70 61
e 61 141
e 141 1
e 1 10
e 10 206
e 206 63
e 63 145
e 145 201
e 201 115
e 115 143
e 143 209
e 209 91
e 91 31
e 4 200
e 200 164
e 164 77
e 77 18
e 18 153
e 153 193
e 193 242
e 242 37
e 37 127
e 127 212
e 212 72
e 72 231
e 231 49
e 49 157
e 157 192
e 192 195
e 195 225
e 225 146
e 146 106
e 106 243
e 243 155
e 155 163
e 163 84
e 84 178
e 178 8
e 8 88
e 88 248
e 248 152
e 152 190
e 190 100
e 164 117
e 117 35
e 35 142
e 142 87
e 87 20
e 20 19
e 19 34
e 34 38
e 38 33
e 33 162
e 162 128
e 128 156
e 156 40
e 40 213
e 213 137
e 137 215
e 215 244
e 244 75
e 75 220
e 200 22
e 22 62
e 62 83
e 83 116
e 116 187
e 187 60
e 60 240
e 240 104
e 104 228
e 228 46
e 46 144
e 144 136
e 136 154
e 154 159
e 159 126
e 126 184
e 184 99
e 99 158
e 158 196
e 196 247
e 247 113
e 113 55
e 55 21
e 21 130
e 22 199
e 199 90
e 90 73
e 73 202
e 202 131
e 131 175
e 175 17
e 17 119
e 210 229
e 229 181
e 181 5
e 5 25
e 25 48
e 48 177
e 177 57
e 57 6
e 6 89
e 89 121
e 121 14
e 14 42
e 5 53
e 53 186
e 186 211
e 211 56
e 56 123
e 123 13
e 181 27
e 27 161
e 161 241
e 241 94
e 94 222
e 222 67
e 67 76
e 76 65
e 27 182
e 182 174
e 174 109
e 109 140
e 229 7
e 7 205
e 205 224
e 224 221
e 221 80
e 80 54
e 205 125
e 125 179
e 7 148
e 148 98
e 98 93
e 93 97
e 97 185
e 148 108
e 108 26
e 26 44
e 44 166
e 166 135
e 135 41
e 41 16
e 16 219
e 219 92
e 92 250
e 250 78
e 210 176
e 176 102
e 102 246
e 246 234
e 234 103
e 246 208
e 208 188
e 188 237
e 102 138
e 138 50
e 50 227
e 227 216
e 138 168
e 168 197
e 197 180
e 176 23
e 23 24
e 24 96
e 96 249
e 249 238
e 24 101
e 101 203
e 203 235
e 235 122
e 122 169
e 169 43
e 43 95
e 95 105
e 105 134
e 23 64
e 64 52
e 52 68
e 68 47
e 47 114
e 114 11
e 11 204
e 204 194
e 194 232
e 232 233
e 64 171
e 171 12
e 12 29
e 29 110
e 110 223
 245
 22
1
e 1481 1153
e 1153 732
e 732 536
e 536 1059
e 364 146
e 146 1690
e 1690 1592
e 1592 934
e 934 61
e 61 1893
e 1893 664
e 146 767
e 767 400
e 400 1892
e 1892 831
e 831 1598
e 1598 307
e 307 1607
e 1607 1993
e 1993 331
e 331 1100
e 1100 1722
e 1722 1889
e 1926 1906
e 1906 274
e 274 142
e 142 616
e 616 1856
e 1856 1885
e 1885 909
e 909 1291
e 1291 414
e 414 1082
e 1082 1418
e 1418 1977
e 1977 746
e 142 1828
e 1828 1454
e 1454 1657
e 1657 1013
e 1013 1847
e 274 1133
e 1133 1359
e 1359 888
e 888 1950
e 1950 1514
e 1514 1028
e 1133 1214
e 1214 1888
e 1888 235
e 235 1306
e 1306 1686
e 1686 1220
e 1906 1241
e 1241 853
e 853 210
e 210 1484
e 1484 1301
e 853 1781
e 1781 97
e 97 76
e 76 45
e 45 1723
e 1241 1940
e 1940 1476
e 1476 376
e 1940 1516
e 1516 1801
e 1801 1956
e 1956 715
e 1273 613
e 613 448
e 448 1458
e 1458 1213
e 1213 81
e 81 1248
e 1248 1279
e 1279 181
e 181 1202
e 1202 1145
e 1145 1574
e 1574 1805
e 81 104
e 104 1398
e 1398 605
e 605 956
e 956 990
e 990 1403
e 1403 1761
e 1213 106
e 106 1769
e 1769 1358
e 1358 1446
e 1446 401
e 401 1951
e 1951 468
e 106 886
e 886 1326
e 1326 436
e 436 537
e 1458 215
e 215 798
e 798 286
e 286 1437
e 1437 63
e 63 768
e 798 1019
e 1019 101
e 215 167
e 167 1594
e 1594 74
e 74 1445
e 1445 882
e 882 1624
e 1624 177
e 177 424
e 424 1756
e 167 1767
e 1767 261
e 261 633
e 633 1694
e 1694 569
e 569 230
e 230 1618
e 448 440
e 440 556
e 556 1505
e 1505 1036
e 1036 173
e 173 80
e 80 1086
e 1086 1125
e 1505 720
e 720 893
e 893 131
e 131 259
e 259 306
e 306 1429
e 1429 903
e 556 179
e 179 688
e 688 144
e 144 638
e 638 17
e 17 1791
e 1791 1788
e 1788 511
e 179 869
e 869 229
e 229 530
e 530 182
e 182 1779
e 1779 654
e 654 1269
e 1269 1026
e 1026 1201
e 440 1001
e 1001 784
e 784 1111
e 1111 1258
