c Вес дерева = 256692, число листьев = 192,
c число вершин и ребер
p edge 2018 2017
c ребра
e 1177 353
e 353 1005
e 1005 1824
e 1824 1872
e 1872 1230
e 1230 657
e 657 590
e 590 774
e 774 1973
e 1973 439
e 439 1304
e 1304 1243
e 1243 1885
e 1885 934
e 934 402
e 402 288
e 288 331
e 331 345
e 345 678
e 678 141
e 141 1977
e 1977 892
e 657 1742
e 1742 998
e 998 1454
e 1454 1226
e 1226 1315
e 1315 1289
e 1289 885
e 1230 549
e 549 447
e 447 1825
e 1825 111
e 111 1541
e 1541 1281
e 549 178
e 178 222
e 222 194
e 194 181
e 181 1268
e 1268 348
e 1872 1970
e 1970 31
e 31 344
e 344 167
e 167 1382
e 1382 506
e 506 1696
e 1696 903
e 31 394
e 394 1371
e 1371 251
e 251 1681
e 1681 462
e 462 80
e 80 1317
e 1317 240
e 1970 1504
e 1504 860
e 860 1602
e 1602 1787
e 1787 1647
e 1647 17
e 1504 340
e 340 990
e 990 841
e 841 376
e 376 1116
e 1116 421
e 1824 1506
e 1506 95
e 95 1814
e 1814 957
e 957 1059
e 1059 1107
e 1107 197
e 197 746
e 1814 1677
e 1677 829
e 829 455
e 455 1778
e 1778 1643
e 1643 1427
e 1427 919
e 919 1089
e 1089 1201
e 1201 785
e 95 7
e 7 166
e 166 1629
e 1629 264
e 264 1357
e 1357 436
e 436 723
e 723 1761
e 7 1985
e 1985 88
e 88 510
e 510 172
e 172 1122
e 1122 1372
e 1372 1018
e 1018 369
e 1506 1862
e 1862 1339
e 1339 680
e 680 1140
e 1140 1617
e 1617 1690
e 1690 438
e 438 101
e 1339 792
e 792 176
e 176 1165
e 1165 1612
e 1612 1023
e 1023 536
e 536 1949
e 1949 1747
e 1862 626
e 626 1336
e 1336 305
e 305 372
e 372 1443
e 1443 1599
e 1599 1932
e 1932 1943
e 1943 1518
e 1518 1402
e 1402 1889
e 626 1263
e 1263 235
e 235 660
e 660 888
e 888 820
e 820 1306
e 1306 1549
e 1549 1666
e 1666 1813
e 1813 1301
e 1005 1110
e 1110 1796
e 1796 876
e 876 158
e 158 118
e 118 857
e 158 765
e 765 586
e 586 1109
e 1109 944
e 944 400
e 400 956
e 956 1013
e 1013 1511
e 1511 1176
e 1176 916
e 876 1965
e 1965 1358
e 1358 93
e 93 1291
e 1291 312
e 312 1801
e 1801 393
e 393 633
e 633 1405
e 1405 1817
e 1817 1722
e 1965 1132
e 1132 1505
e 1505 28
e 28 79
e 79 1290
e 1290 879
e 879 1399
e 1796 1947
e 1947 495
e 495 556
e 556 1182
e 1182 1446
e 1446 1027
e 1027 23
e 23 966
e 495 1076
e 1076 185
e 185 1297
e 1297 388
e 388 229
e 229 137
e 137 767
e 767 1950
e 1950 467
e 467 908
e 908 743
e 743 588
e 588 1956
e 1956 237
e 237 526
e 526 1788
e 1788 838
e 838 1618
e 1618 1393
e 1947 1613
e 1613 1989
e 1989 1404
e 1404 1391
e 1391 62
e 62 638
e 638 1575
e 1575 1287
e 1287 701
e 701 1616
e 1616 468
e 1613 1912
e 1912 928
e 928 632
e 632 1887
e 1887 459
e 459 1354
e 1354 335
e 335 1298
e 1298 1685
e 1685 45
e 45 1669
e 1110 564
e 564 666
e 666 797
e 797 1169
e 1169 1526
e 1526 297
e 297 74
e 74 1248
e 1248 1552
e 1552 1476
e 1476 1750
e 1750 83
e 83 1221
e 1221 1893
e 1893 1660
e 1660 1873
e 1873 152
e 152 1795
e 797 349
e 349 1915
e 1915 710
e 710 13
e 13 1436
e 1436 1442
e 1442 1760
e 1760 712
e 712 1874
e 1874 326
e 666 1175
e 1175 705
e 705 651
e 651 1720
e 1720 1047
e 1047 1568
e 1568 1577
e 1577 1514
e 1514 1598
e 1598 125
e 125 1311
e 1311 1206
e 1206 569
e 569 1913
e 1175 1883
e 1883 1213
e 1213 368
e 368 1483
e 1483 12
e 12 1482
e 1482 508
e 508 576
e 576 276
e 276 572
e 572 640
e 640 262
e 262 557
e 557 654
e 564 448
e 448 1774
e 1774 675
e 675 1451
e 1451 73
e 73 1724
e 1724 25
e 25 1350
e 1350 714
e 714 750
e 750 1733
e 1733 1019
e 1019 1286
e 1286 63
e 63 1363
e 1774 672
e 672 525
e 525 103
e 103 1792
e 1792 1955
e 1955 266
e 266 78
e 78 948
e 948 1533
e 1533 1099
e 1099 671
e 671 424
e 424 1567
e 1567 850
e 448 1839
e 1839 1936
e 1936 1029
e 1029 1828
e 1828 616
e 616 1136
e 1136 1445
e 1445 1499
e 1499 999
e 999 444
e 444 341
e 341 909
e 909 1484
e 1484 1052
e 1052 104
e 104 1540
e 1839 122
e 122 452
e 452 1120
e 1120 1475
e 1475 1739
e 1739 1156
e 1156 936
e 936 1369
e 1369 1846
e 1846 1892
e 1892 1284
e 1284 1448
e 1448 1652
e 353 41
e 41 1561
e 1561 1905
e 1905 351
e 351 1065
e 1065 1517
e 1517 1881
e 1881 517
e 517 1370
e 1370 1101
e 1101 203
e 1065 1257
e 1257 1002
e 1002 121
e 121 500
e 500 306
e 351 18
e 18 728
e 728 43
e 43 116
e 116 1241
e 1241 1752
e 1752 134
e 134 853
e 18 615
e 615 1237
e 1237 1528
e 1528 1218
e 1218 302
e 302 1969
e 1969 1769
e 1769 591
e 1905 273
e 273 1572
e 1572 188
e 188 1623
e 1623 914
e 914 85
e 85 989
e 989 1172
e 1172 1400
e 1400 1464
e 1464 1942
e 273 848
e 848 238
e 238 409
e 409 1645
e 1645 285
e 285 1305
e 1305 1302
e 1302 472
e 472 1888
e 848 1313
e 1313 258
e 258 897
e 897 1444
e 1444 295
e 295 131
e 131 847
e 847 1856
e 1856 1833
e 1833 39
e 39 1353
e 1561 1235
e 1235 49
e 49 741
e 741 1378
e 1378 428
e 428 286
e 286 1196
e 1196 144
e 144 979
e 741 1166
e 1166 875
e 875 313
e 313 485
e 49 1423
e 1423 475
e 475 699
e 699 961
e 961 153
e 153 58
e 58 1417
